rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
790,mile,n,122899,123.76,0.04,0.01,57403,0.96,10814,11873,11724,13833,15082,29745,24001,5827,87.03,92.32,91.54,109.67,127.47,235.90,197.15,48.64
791,statement,n,122852,123.72,0.03,0.00,60623,0.95,20866,22293,4947,18808,3461,12899,19784,19794,167.93,173.33,38.63,149.11,29.25,102.30,162.51,165.24
792,entire,j,122397,123.26,0.01,0.01,78829,0.98,20829,20302,13046,13423,12480,17250,11405,13662,167.63,157.85,101.86,106.42,105.47,136.81,93.68,114.05
793,democrat,n,122325,123.18,0.95,0.00,32423,0.90,20888,17660,683,47803,369,10500,21961,2461,168.11,137.31,5.33,378.98,3.12,83.27,180.39,20.54
794,floor,n,122291,123.15,0.03,0.01,55999,0.94,8933,10388,12544,9734,44329,17362,14084,4917,71.89,80.77,97.94,77.17,374.65,137.69,115.69,41.05
795,serious,j,122251,123.11,0.03,0.01,74943,0.99,15700,14841,18997,19950,10422,15488,14158,12695,126.35,115.39,148.33,158.16,88.08,122.83,116.30,105.98
796,career,n,122177,122.21,0.04,0.01,62514,0.96,16613,15901,7143,12422,5476,19311,28541,15955,133.70,123.63,55.77,98.48,46.28,153.15,234.44,133.19
797,dollar,n,121984,122.84,0.04,0.01,59218,0.97,19864,17023,11652,22930,10683,14773,18427,6632,159.87,132.36,90.98,181.79,90.29,117.16,151.36,55.36
798,vote,v,121578,122.43,0.04,0.01,40071,0.93,34531,25555,5703,26517,1477,7203,16833,3759,277.91,198.70,44.53,210.23,12.48,57.13,138.27,31.38
799,sex,n,121352,122.20,0.09,0.01,38006,0.98,16839,14973,20773,15217,8874,18167,10439,16070,135.52,116.42,162.19,120.64,75.00,144.08,85.75,134.15
800,compare,v,120978,121.83,0.08,0.00,65231,0.94,18257,19839,3038,7718,3928,16204,13666,38328,146.93,154.25,23.72,61.19,33.20,128.51,112.25,319.96
801,south,n,120894,121.74,0.62,0.01,58444,0.96,10587,12960,7119,13187,10288,20538,31453,14762,85.20,100.77,55.58,104.55,86.95,162.88,258.36,123.23
802,forward,r,120845,121.72,0.03,0.01,71495,0.97,17235,15134,9102,21059,24232,13866,14177,6063,138.71,117.67,71.07,166.96,204.80,109.97,116.45,50.61
803,subject,n,120773,121.62,0.05,0.00,54002,0.92,13545,19934,4520,8665,7661,13993,8693,43762,109.01,154.99,35.29,68.70,64.75,110.98,71.41,365.32
804,financial,j,120726,121.57,0.12,0.01,50095,0.94,18453,19844,2324,10629,1910,20502,26255,20809,148.51,154.29,18.15,84.27,16.14,162.60,215.66,173.71
805,identify,v,120690,121.54,0.03,0.00,57210,0.91,10656,16194,3771,7719,3855,14683,11649,52163,85.76,125.91,29.44,61.20,32.58,116.45,95.69,435.45
806,beautiful,j,120679,121.53,0.08,0.01,59758,0.98,13585,13785,32265,15350,21719,12655,7502,3818,109.33,107.18,251.92,121.69,183.56,100.36,61.62,31.87
807,decade,n,120539,121.39,0.02,0.00,73415,0.95,16314,15641,2033,11327,5139,24849,25277,19959,131.30,121.61,15.87,89.80,43.43,197.07,207.63,166.62
808,bit,n,120467,121.31,0.03,0.01,71483,0.97,18902,14943,18994,28949,14438,11903,8780,3558,152.12,116.19,148.30,229.51,122.02,94.40,72.12,29.70
809,reduce,v,120399,121.24,0.04,0.00,59705,0.94,15974,17880,1436,8281,2384,24762,16296,33386,128.56,139.02,11.21,65.65,20.15,196.38,133.86,278.70
810,sister,n,120346,118.94,0.13,0.01,45677,0.96,8434,10112,25846,12837,31765,13012,11863,4244,67.88,78.62,201.80,101.77,268.46,103.20,97.44,35.43
811,quality,n,120236,121.08,0.06,0.00,58601,0.94,20158,19289,3027,6400,3953,18134,13764,35511,162.23,149.98,23.63,50.74,33.41,143.82,113.06,296.44
812,quickly,r,120136,120.98,0.03,0.00,77779,0.97,14048,14807,6515,16792,23577,19923,15271,9203,113.06,115.13,50.87,133.13,199.26,158.00,125.44,76.83
813,act,v,119650,120.49,0.07,0.01,70265,0.98,17007,18998,14709,14408,10219,14131,12940,17238,136.87,147.71,114.85,114.23,86.37,112.07,106.29,143.90
814,press,n,119485,120.32,0.41,0.02,55611,0.94,11519,12990,5402,20862,4660,17131,21224,25697,92.71,101.00,42.18,165.39,39.38,135.86,174.34,214.52
815,worry,v,119256,120.09,0.02,0.01,69126,0.98,11881,9888,37516,16382,17408,11153,11758,3270,95.62,76.88,292.92,129.88,147.12,88.45,96.58,27.30
816,accept,v,119245,120.08,0.03,0.00,68613,0.98,19230,20167,9677,12414,10951,13629,14573,18604,154.76,156.80,75.56,98.42,92.55,108.09,119.70,155.30
817,enter,v,119119,119.96,0.06,0.01,70638,0.97,12979,18848,7319,7483,21841,16854,16693,17102,104.46,146.55,57.15,59.33,184.59,133.67,137.12,142.77
818,mention,v,119033,119.87,0.01,0.00,70303,0.97,25407,21336,10995,19080,11427,9899,7951,12938,204.48,165.89,85.85,151.27,96.58,78.51,65.31,108.01
819,sound,n,119028,119.86,0.10,0.02,54818,0.95,9996,15507,10585,9651,36317,15270,9685,12017,80.45,120.57,82.65,76.51,306.93,121.10,79.55,100.32
820,thus,r,118653,119.49,0.44,0.00,48519,0.89,14880,22381,1383,1576,4267,12143,4828,57195,119.76,174.02,10.80,12.49,36.06,96.30,39.66,477.46
821,plant,n,118323,119.15,0.06,0.01,32944,0.94,10978,13274,4686,7575,7213,33800,18666,22131,88.35,103.21,36.59,60.05,60.96,268.06,153.32,184.75
822,movement,n,118118,118.95,0.06,0.00,50920,0.95,15591,15486,3272,11393,8499,18055,13006,32816,125.48,120.41,25.55,90.32,71.83,143.19,106.83,273.95
823,scene,n,118003,118.83,0.07,0.04,54943,0.98,12995,15512,11673,18105,15996,15480,17369,10873,104.58,120.61,91.14,143.54,135.19,122.77,142.67,90.77
824,section,n,117170,117.99,0.27,0.01,53148,0.91,10236,28922,3415,3407,6081,19399,9220,36490,82.38,224.88,26.66,27.01,51.39,153.85,75.73,304.62
825,treatment,n,116893,117.71,0.05,0.00,40394,0.92,11745,14055,3805,9716,2913,20206,12728,41725,94.52,109.28,29.71,77.03,24.62,160.25,104.55,348.32
826,wish,v,116884,117.71,0.04,0.01,66269,0.98,18808,18264,24504,10689,22015,7865,6656,8083,151.37,142.01,191.33,84.74,186.06,62.38,54.67,67.48
827,benefit,n,116806,117.63,0.03,0.00,54622,0.95,20172,20977,2489,10308,2458,18433,16556,25413,162.35,163.10,19.43,81.72,20.77,146.19,135.99,212.15
828,interesting,j,116773,117.59,0.07,0.00,65170,0.95,25616,19716,11138,28934,6761,8645,6441,9522,206.16,153.30,86.96,229.39,57.14,68.56,52.91,79.49
829,west,n,116683,117.50,0.72,0.02,56535,0.96,11235,12655,6824,11393,9690,19488,30212,15186,90.42,98.40,53.28,90.32,81.90,154.55,248.16,126.77
830,candidate,n,116347,117.16,0.05,0.01,39694,0.92,21497,18500,1891,30085,1521,11165,21658,10030,173.01,143.84,14.76,238.51,12.85,88.55,177.90,83.73
831,approach,n,116173,116.99,0.03,0.00,55277,0.91,13327,14637,1770,6990,3309,15807,11885,48448,107.26,113.81,13.82,55.42,27.97,125.36,97.62,404.44
832,determine,v,116138,116.95,0.02,0.00,63966,0.93,12330,19942,3367,8546,5083,14591,12284,39995,99.23,155.05,26.29,67.75,42.96,115.72,100.90,333.87
833,resource,n,116078,116.89,0.12,0.01,50739,0.92,16478,18079,2057,6626,2024,14614,12598,43602,132.62,140.57,16.06,52.53,17.11,115.90,103.48,363.99
834,claim,v,116020,116.84,0.02,0.00,64062,0.96,21963,20743,5038,12654,7979,16551,14681,16411,176.76,161.28,39.34,100.32,67.43,131.26,120.59,137.00
835,answer,v,115956,116.77,0.07,0.01,64371,0.97,13758,16893,14735,15474,25890,10275,8579,10352,110.73,131.35,115.05,122.68,218.81,81.49,70.47,86.42
836,prove,v,115910,116.72,0.02,0.01,70810,0.98,19101,18848,12965,11972,8956,17274,13775,13019,153.73,146.55,101.23,94.91,75.69,137.00,113.15,108.68
837,sort,n,115486,116.30,0.01,0.00,65427,0.96,18332,15415,9790,27804,16920,11443,7943,7839,147.54,119.86,76.44,220.43,143.00,90.75,65.24,65.44
838,enough,d,115462,116.27,0.02,0.00,76729,0.98,18710,15631,15064,13690,15747,16516,14299,5805,150.58,121.53,117.62,108.53,133.09,130.98,117.45,48.46
839,size,n,115388,116.20,0.04,0.01,59160,0.95,14319,16634,6051,6683,9619,23396,11600,27086,115.24,129.33,47.25,52.98,81.30,185.55,95.28,226.11
840,somebody,p,115363,116.17,0.17,0.01,53979,0.94,6570,5765,39679,37146,12280,5535,7230,1166,52.88,44.82,309.81,294.49,103.78,43.90,59.39,9.73
841,knowledge,n,115356,116.17,0.05,0.00,48259,0.91,15321,19533,3633,4767,6313,9905,5729,50155,123.30,151.87,28.37,37.79,53.35,78.55,47.06,418.69
842,rather,r,115104,115.91,0.14,0.02,67162,0.97,20320,19047,10447,14074,12753,11358,7662,19443,163.54,148.10,81.57,111.58,107.78,90.08,62.94,162.31
843,hang,v,114959,115.77,0.11,0.01,63476,0.96,9145,9097,28403,9713,32719,13110,9781,2992,73.60,70.73,221.77,77.00,276.52,103.97,80.34,24.98
844,sport,n,114894,115.70,0.19,0.01,43610,0.94,12235,10086,5581,10161,4352,18336,31949,22194,98.47,78.42,43.58,80.56,36.78,145.42,262.43,185.27
845,tv,n,114859,115.67,0.97,0.97,55020,0.97,15550,14262,12672,18468,12036,19135,20985,2618,125.15,110.89,98.94,146.41,101.72,151.76,172.37,21.85
846,loss,n,114630,115.44,0.03,0.00,59629,0.96,17504,17026,5014,8973,5898,17295,23449,19471,140.87,132.38,39.15,71.14,49.85,137.16,192.61,162.54
847,argue,v,114425,115.23,0.01,0.00,57765,0.95,16885,15742,4094,11408,6694,13741,14320,31541,135.89,122.40,31.97,90.44,56.57,108.98,117.63,263.30
848,left,j,114320,115.12,0.09,0.01,60935,0.97,12908,12976,11785,9238,19683,23303,14487,9942,103.88,100.89,92.02,73.24,166.35,184.81,119.00,82.99
849,note,n,114251,115.05,0.12,0.03,56479,0.91,12636,15790,7744,8958,14390,13363,11026,30344,101.70,122.77,60.46,71.02,121.62,105.98,90.57,253.31
850,meeting,n,114209,115.01,0.04,0.01,56169,0.97,10979,12875,12706,16752,9539,13216,22587,15555,88.36,100.11,99.21,132.81,80.62,104.81,185.53,129.85
851,skill,n,113912,114.71,0.04,0.00,45117,0.90,14042,14668,3866,4162,4495,12870,10164,49645,113.01,114.05,30.19,33.00,37.99,102.07,83.49,414.43
852,card,n,113472,114.27,0.08,0.01,45857,0.98,16258,16575,15743,10378,14465,16277,16541,7235,130.85,128.87,122.92,82.28,122.25,129.09,135.87,60.40
853,feeling,n,113414,114.21,0.02,0.00,62823,0.99,15457,15482,16347,13683,16427,13065,9328,13625,124.40,120.38,127.64,108.48,138.83,103.62,76.62,113.74
854,despite,i,113257,114.05,0.40,0.00,74468,0.96,15422,16013,2233,7795,11065,18830,19743,22156,124.12,124.51,17.44,61.80,93.52,149.34,162.17,184.96
855,degree,n,113046,113.84,0.02,0.00,56492,0.95,14601,17898,5134,8871,5722,15043,15205,30572,117.51,139.16,40.09,70.33,48.36,119.30,124.90,255.21
856,crime,n,112978,113.77,0.07,0.01,42585,0.96,12426,14249,13029,25514,6370,10756,20344,10290,100.01,110.79,101.73,202.27,53.84,85.30,167.11,85.90
857,that,r,112903,113.70,0.12,0.01,71310,0.99,15099,15486,19581,17815,11769,9494,7047,16612,121.52,120.41,152.89,141.24,99.47,75.29,57.88,138.68
858,sign,n,112603,113.39,0.04,0.01,65657,0.98,12264,13611,11853,11789,19221,15952,16474,11439,98.70,105.83,92.55,93.46,162.45,126.51,135.32,95.49
859,occur,v,112575,113.37,0.00,0.00,60086,0.94,13223,19262,3149,9319,7006,14989,9805,35822,106.42,149.77,24.59,73.88,59.21,118.87,80.54,299.04
860,imagine,v,112572,113.36,0.13,0.00,66416,0.97,17437,14365,12970,13870,26016,12995,7394,7525,140.33,111.69,101.27,109.96,219.87,103.06,60.74,62.82
861,vote,n,112405,113.19,0.05,0.01,35195,0.93,24492,21378,4916,27937,1108,7948,19345,5281,197.11,166.22,38.38,221.48,9.36,63.03,158.90,44.09
862,near,i,112214,113.00,0.04,0.01,69966,0.96,10259,12633,7519,8549,20244,20410,23823,8777,82.56,98.22,58.71,67.78,171.09,161.87,195.68,73.27
863,king,n,112088,112.88,0.65,0.07,39638,0.96,8679,17702,15698,17231,13106,14644,14627,10401,69.85,137.64,122.57,136.61,110.77,116.14,120.15,86.83
864,box,n,112035,112.82,0.13,0.02,54258,0.97,12596,13205,13928,7497,24106,20356,12371,7976,101.37,102.67,108.75,59.44,203.73,161.44,101.62,66.58
865,present,v,111731,112.52,0.02,0.00,61429,0.93,13630,17285,4136,7695,4565,11924,12301,40195,109.69,134.40,32.29,61.01,38.58,94.57,101.04,335.54
866,figure,v,111647,112.43,0.06,0.00,67592,0.99,15680,13240,25992,13464,16183,11617,9867,5604,126.19,102.94,202.94,106.74,136.77,92.13,81.05,46.78
867,seven,m,111646,112.43,0.14,0.01,70641,0.98,8211,11042,13466,16378,12154,16129,23509,10757,66.08,85.85,105.14,129.84,102.72,127.92,193.11,89.80
868,foreign,j,111509,112.29,0.16,0.01,43492,0.94,12098,15257,2456,20993,3936,12420,17676,26673,97.37,118.63,19.18,166.43,33.27,98.50,145.19,222.66
869,laugh,v,111440,112.22,0.10,0.05,47357,0.93,8311,9451,22959,9483,43682,8977,6900,1677,66.89,73.48,179.26,75.18,369.18,71.19,56.68,14.00
870,disease,n,111433,112.22,0.09,0.00,34351,0.93,9369,15563,4455,12084,3442,27002,11006,28512,75.40,121.01,34.78,95.80,29.09,214.15,90.40,238.02
871,lady,n,111384,112.17,0.32,0.02,47186,0.96,8624,8278,36913,15866,22767,7961,8009,2965,69.41,64.36,288.21,125.79,192.42,63.14,65.79,24.75
872,beyond,i,111221,112.00,0.12,0.00,70658,0.97,14569,15017,5161,10362,15633,16456,12715,21308,117.25,116.76,40.30,82.15,132.12,130.51,104.44,177.88
873,discuss,v,111181,111.96,0.02,0.00,64334,0.96,16880,17009,7234,12230,6366,9963,12794,28705,135.85,132.25,56.48,96.96,53.80,79.01,105.09,239.63
874,finish,v,111094,111.87,0.04,0.01,66102,0.98,12619,12624,20848,8909,21969,12740,18024,3361,101.56,98.15,162.78,70.63,185.67,101.04,148.05,28.06
875,design,n,111026,111.81,0.11,0.01,41836,0.93,17867,17645,2893,2866,3703,23866,11899,30287,143.79,137.19,22.59,22.72,31.30,189.28,97.74,252.83
876,concern,n,110976,111.76,0.02,0.00,63323,0.95,12267,12528,3700,16463,5025,13214,17747,30032,98.73,97.41,28.89,130.52,42.47,104.80,145.78,250.70
877,ball,n,110770,111.55,0.08,0.01,45892,0.97,14092,10789,18647,6986,14198,21204,20738,4116,113.41,83.89,145.59,55.38,119.99,168.16,170.34,34.36
878,east,n,110589,111.37,0.73,0.01,53878,0.96,12147,15101,5716,13612,8310,15640,26203,13860,97.76,117.41,44.63,107.92,70.23,124.04,215.23,115.70
879,recognize,v,110405,111.18,0.03,0.00,64742,0.96,13770,15566,6933,9885,13658,13039,9976,27578,110.82,121.03,54.13,78.37,115.43,103.41,81.94,230.22
880,apply,v,110328,111.10,0.04,0.00,57222,0.94,17331,23913,3147,6970,4113,16253,10056,28545,139.48,185.93,24.57,55.26,34.76,128.90,82.60,238.29
881,prepare,v,110266,111.04,0.06,0.01,69400,0.98,12996,14902,10026,13543,10438,16441,15715,16205,104.59,115.87,78.28,107.37,88.22,130.39,129.08,135.28
882,network,n,110210,110.98,0.17,0.01,45550,0.95,15815,18549,3064,11355,2527,19536,20535,18829,127.28,144.22,23.92,90.02,21.36,154.94,168.68,157.18
883,huge,j,110088,110.86,0.04,0.02,69827,0.97,21053,15657,8455,17715,13338,15444,14367,4059,169.44,121.74,66.02,140.44,112.73,122.48,118.01,33.88
884,success,n,110030,110.80,0.05,0.01,63131,0.96,16526,15187,3747,9869,4016,17921,17615,25149,133.00,118.08,29.26,78.24,33.94,142.13,144.69,209.94
885,district,n,109941,110.71,0.35,0.01,38340,0.91,11079,13624,2554,9453,2525,7805,42099,20802,89.16,105.93,19.94,74.94,21.34,61.90,345.81,173.65
886,cup,n,109915,112.65,0.17,0.01,28584,0.88,5884,6008,6229,3297,14802,47164,26917,1559,47.35,46.71,48.64,26.14,125.10,374.05,221.10,13.01
887,name,v,109851,110.62,0.04,0.00,69507,0.98,11495,14125,12502,12699,14203,17191,19867,7769,92.51,109.83,97.62,100.68,120.04,136.34,163.19,64.85
888,physical,j,109576,110.35,0.07,0.00,46724,0.92,12518,15522,4082,6197,5505,13788,8225,43739,100.75,120.69,31.87,49.13,46.53,109.35,67.56,365.13
889,growth,n,109567,110.34,0.05,0.01,42350,0.94,15273,15579,1081,8198,1531,20874,17475,29556,122.92,121.13,8.44,64.99,12.94,165.55,143.54,246.73
890,rise,v,109035,109.80,0.07,0.01,61093,0.96,10895,13365,4909,8896,25501,18516,17716,9237,87.68,103.92,38.33,70.53,215.52,146.85,145.52,77.11
891,hi,u,108665,109.43,0.89,0.03,33651,0.91,5980,4431,71520,19377,5251,898,586,622,48.13,34.45,558.42,153.62,44.38,7.12,4.81,5.19
892,standard,n,107818,108.58,0.12,0.00,47210,0.93,14536,16137,1840,10107,2173,13639,13813,35573,116.99,125.47,14.37,80.13,18.37,108.17,113.46,296.96
893,force,v,107636,108.39,0.02,0.00,68004,0.97,18126,16915,6537,10971,12901,14185,17580,10421,145.88,131.52,51.04,86.98,109.03,112.50,144.40,86.99
894,sign,v,107633,108.39,0.08,0.01,61843,0.96,13956,14362,13739,13183,7220,15699,23500,5974,112.32,111.67,107.27,104.51,61.02,124.51,193.03,49.87
895,fan,n,107631,108.39,0.06,0.01,49601,0.95,24951,18077,6874,10247,4651,15161,23439,4231,200.81,140.55,53.67,81.24,39.31,120.24,192.53,35.32
896,theory,n,107486,108.24,0.08,0.00,38030,0.92,14869,17804,5569,6448,4293,11983,5129,41391,119.67,138.43,43.48,51.12,36.28,95.03,42.13,345.53
897,staff,n,107396,108.15,0.13,0.01,54450,0.95,11272,12777,4063,11680,5773,13606,28258,19967,90.72,99.34,31.72,92.60,48.79,107.91,232.11,166.68
898,hurt,v,107262,108.02,0.03,0.01,57630,0.98,11892,10636,33395,15496,16890,7451,9517,1985,95.71,82.70,260.75,122.85,142.75,59.09,78.17,16.57
899,legal,j,107134,107.89,0.08,0.01,46687,0.95,15653,16438,4774,15722,3693,11457,17968,21429,125.98,127.81,37.28,124.64,31.21,90.86,147.59,178.89
900,september,n,106932,107.68,0.28,0.00,154,0.71,2305,2713,11,25,79,2707,20800,1708,18.55,21.09,0.09,0.20,0.67,21.47,170.85,14.26
901,set,n,106920,107.67,0.03,0.01,58839,0.96,13686,15710,6565,8255,9481,18334,10978,23911,110.15,122.15,51.26,65.45,80.13,145.40,90.17,199.61
902,outside,i,106572,107.32,0.06,0.01,71087,0.98,13274,13388,7509,12114,15252,14254,16466,14315,106.83,104.09,58.63,96.04,128.90,113.05,135.25,119.50
903,et,r,106546,107.29,0.00,0.00,13325,0.70,2670,5321,363,2114,468,918,251,94441,21.49,41.37,2.83,16.76,3.96,7.28,2.06,788.39
904,strategy,n,106236,106.98,0.07,0.01,45810,0.91,13150,12696,2055,9242,1379,13852,10060,43802,105.83,98.71,16.05,73.27,11.65,109.86,82.63,365.66
905,clearly,r,105965,106.71,0.13,0.00,64590,0.97,17978,16133,5498,18083,9753,10818,8557,19145,144.69,125.44,42.93,143.36,82.43,85.80,70.29,159.82
906,property,n,105851,106.59,0.06,0.00,42218,0.95,14753,22067,5060,5492,5122,12954,20708,19695,118.73,171.58,39.51,43.54,43.29,102.74,170.10,164.41
907,lay,v,105812,106.56,0.05,0.00,60479,0.96,9390,12908,11415,10479,31030,13832,9580,7178,75.57,100.36,89.13,83.08,262.25,109.70,78.69,59.92
908,final,j,105688,106.43,0.07,0.01,65269,0.97,12883,16285,6799,11867,8986,13170,17540,18158,103.68,126.62,53.09,94.08,75.95,104.45,144.08,151.58
909,authority,n,105586,106.33,0.13,0.00,49319,0.95,11652,16738,4189,13978,4189,10368,20471,24001,93.78,130.14,32.71,110.82,35.40,82.23,168.15,200.36
910,perfect,j,105560,106.30,0.10,0.01,64004,0.98,15834,15273,22233,9643,13734,15336,9400,4107,127.43,118.75,173.59,76.45,116.07,121.63,77.21,34.28
911,method,n,105544,106.29,0.11,0.02,42073,0.89,13385,19393,1793,2632,2137,12313,5380,48511,107.72,150.79,14.00,20.87,18.06,97.65,44.19,404.97
912,region,n,105382,106.12,0.06,0.00,41733,0.93,9892,16138,1244,9199,2087,15648,18471,32703,79.61,125.48,9.71,72.93,17.64,124.10,151.72,273.00
913,since,i,105367,106.11,0.21,0.00,73790,0.95,14713,14598,4222,10277,4955,16841,29572,10189,118.41,113.50,32.97,81.48,41.88,133.56,242.91,85.06
914,impact,n,105330,106.07,0.05,0.01,54182,0.94,14157,14238,2117,10917,2614,15672,12555,33060,113.94,110.70,16.53,86.55,22.09,124.29,103.13,275.98
915,indicate,v,105304,106.04,0.01,0.00,48772,0.89,8381,13484,2582,6861,5178,10148,7277,51393,67.45,104.84,20.16,54.39,43.76,80.48,59.77,429.02
916,safe,j,105273,105.67,0.06,0.01,59859,0.99,13246,13136,21514,14212,11993,13152,10546,7137,106.60,102.14,167.98,112.67,101.36,104.31,86.63,59.58
917,committee,n,105133,105.87,0.50,0.01,39337,0.94,8789,15462,2507,22590,2099,11307,23692,18687,70.73,120.22,19.57,179.09,17.74,89.67,194.61,156.00
918,supposed,j,105037,105.78,0.02,0.01,60402,0.98,12093,10918,34792,13933,14848,7381,7547,3525,97.33,84.89,271.65,110.46,125.49,58.54,61.99,29.43
919,dream,n,104797,105.53,0.12,0.02,50934,0.98,11384,14311,20692,10118,19838,12236,10756,5462,91.62,111.27,161.56,80.22,167.66,97.04,88.35,45.60
920,training,n,104563,105.30,0.07,0.01,44829,0.94,11252,12725,4340,7950,4107,14434,17755,32000,90.56,98.94,33.89,63.03,34.71,114.47,145.84,267.13
921,shit,n,104498,105.23,0.22,0.02,18541,0.85,8998,5681,73057,66,14452,1977,17,250,72.42,44.17,570.43,0.52,122.14,15.68,0.14,2.09
922,central,j,104403,105.14,0.42,0.01,54492,0.95,10383,12550,3615,9693,4825,15293,20906,27138,83.56,97.58,28.23,76.85,40.78,121.29,171.72,226.55
923,option,n,104245,104.98,0.04,0.01,55145,0.96,21738,19949,5130,8899,3220,17684,14320,13305,174.95,155.11,40.05,70.55,27.21,140.25,117.63,111.07
924,eight,m,104060,104.79,0.11,0.01,68103,0.97,6759,8946,12063,16438,11795,16363,21808,9888,54.40,69.56,94.19,130.32,99.69,129.77,179.13,82.54
925,particularly,r,104018,104.75,0.03,0.00,65729,0.95,13230,13995,2082,14260,5404,15027,13468,26552,106.48,108.81,16.26,113.05,45.67,119.18,110.63,221.65
926,completely,r,103941,104.67,0.03,0.01,65112,0.97,22634,19067,11968,12158,11193,12169,7046,7706,182.16,148.25,93.45,96.39,94.60,96.51,57.88,64.33
927,opinion,n,103920,104.65,0.04,0.01,52633,0.95,26143,21183,5237,13495,4733,7606,9636,15887,210.40,164.70,40.89,106.99,40.00,60.32,79.15,132.62
928,main,j,103803,104.53,0.07,0.01,63586,0.97,15713,17315,5020,8688,9659,13916,13827,19665,126.46,134.63,39.20,68.88,81.63,110.36,113.58,164.16
929,ten,m,103677,104.41,0.23,0.01,56691,0.97,10232,11756,16418,8451,25033,13923,7047,10895,82.35,91.41,128.19,67.00,211.57,110.42,57.88,90.95
930,interview,n,103566,104.29,0.05,0.00,50638,0.95,12433,13705,5110,19727,3672,10043,19386,19490,100.06,106.56,39.90,156.40,31.03,79.65,159.24,162.70
931,exist,v,103550,104.28,0.01,0.00,57471,0.96,18667,20170,6863,8114,7253,11835,7245,23403,150.23,156.83,53.59,64.33,61.30,93.86,59.51,195.37
932,remove,v,103480,104.21,0.10,0.00,58165,0.97,14256,16294,5359,7025,11277,22028,15205,12036,114.73,126.69,41.84,55.69,95.31,174.70,124.90,100.48
933,dark,j,103384,104.11,0.11,0.01,51139,0.93,9485,12256,8913,5256,37545,17557,7685,4687,76.34,95.29,69.59,41.67,317.31,139.24,63.13,39.13
934,play,n,103352,104.08,0.06,0.01,48207,0.96,16169,13586,8895,8254,7085,12386,24408,12569,130.13,105.63,69.45,65.44,59.88,98.23,200.49,104.92
935,union,n,102805,103.53,0.48,0.00,37367,0.94,15954,14893,3131,16834,2860,12284,20714,16137,128.40,115.80,24.45,133.46,24.17,97.42,170.15,134.71
936,professor,n,102741,103.46,0.36,0.01,46342,0.97,9925,12722,7454,13852,8004,17056,16960,16768,79.88,98.92,58.20,109.82,67.65,135.27,139.31,139.98
937,pressure,n,102669,103.39,0.03,0.00,54916,0.97,10503,11118,7734,13664,5847,18322,14562,20919,84.53,86.45,60.39,108.33,49.42,145.31,119.61,174.63
938,purpose,n,102642,103.36,0.02,0.00,56381,0.94,15031,20804,5324,7439,6618,10973,6530,29923,120.97,161.76,41.57,58.98,55.93,87.02,53.64,249.79
939,stage,n,102611,103.33,0.07,0.01,53349,0.97,10845,12860,6639,13234,8967,14106,14999,20961,87.28,99.99,51.84,104.92,75.78,111.87,123.20,174.98
940,blue,j,102172,102.89,0.23,0.01,51242,0.95,9158,9808,11766,6331,31442,16292,12408,4967,73.70,76.26,91.87,50.19,265.73,129.21,101.92,41.46
941,herself,p,102154,102.87,0.00,0.00,43477,0.90,6266,8666,6746,7245,50076,10227,7409,5521,50.43,67.38,52.67,57.44,423.22,81.11,60.86,46.09
942,sun,n,102043,102.76,0.31,0.01,43675,0.95,9059,13611,9035,4408,27090,21239,10639,6962,72.91,105.83,70.54,34.95,228.95,168.44,87.39,58.12
943,pain,n,101918,102.63,0.05,0.01,45268,0.98,11926,14561,14027,9703,18730,14518,8062,10391,95.98,113.22,109.52,76.93,158.30,115.14,66.22,86.74
944,artist,n,101861,102.58,0.08,0.01,33830,0.94,11061,11536,5435,6511,5186,29717,17161,15254,89.02,89.70,42.44,51.62,43.83,235.68,140.96,127.34
945,employee,n,101818,102.53,0.06,0.01,38557,0.95,16279,16956,3233,8647,2753,15226,26903,11821,131.01,131.84,25.24,68.55,23.27,120.75,220.98,98.68
946,avoid,v,101794,102.51,0.05,0.00,65736,0.97,16323,17074,4796,7197,9682,18445,12552,15725,131.37,132.75,37.45,57.06,81.83,146.28,103.10,131.27
947,account,n,101683,102.40,0.03,0.00,49404,0.96,15338,21880,5335,7469,4743,15265,13428,18225,123.44,170.12,41.66,59.21,40.09,121.06,110.30,152.14
948,release,v,101668,102.38,0.04,0.00,61223,0.96,15253,18137,6618,14687,6900,15285,18320,6468,122.76,141.02,51.67,116.44,58.32,121.22,150.48,53.99
949,fund,n,101503,102.22,0.17,0.01,37346,0.92,11577,13793,2283,8659,1676,25572,25543,12400,93.17,107.24,17.83,68.65,14.16,202.81,209.81,103.51
950,environment,n,101479,102.19,0.06,0.00,47538,0.92,12931,13909,2391,7676,1970,14465,9655,38482,104.07,108.15,18.67,60.86,16.65,114.72,79.31,321.24
951,treat,v,101438,102.15,0.03,0.00,57807,0.98,14870,15357,10131,12869,6292,15657,11441,14821,119.67,119.40,79.10,102.03,53.18,124.17,93.98,123.72
952,specific,j,101222,101.93,0.02,0.00,53147,0.92,14400,17380,2864,8368,2199,10955,6549,38507,115.89,135.13,22.36,66.34,18.58,86.88,53.79,321.45
